entry_time,exit_time,side,oz,entry_px,exit_px,entry_reason,exit_reason,gross_pnl,costs,net_pnl,bars_held
2024-10-25 15:15:00+00:00,2024-10-25 20:35:00+00:00,long,1.0,2737.72,2742.17,signal,signal,4.450000000000273,0.16,4.290000000000273,64
2024-10-29 12:25:00+00:00,2024-10-29 14:50:00+00:00,short,1.0,2748.55,2762.93,signal,signal,-14.379999999999654,0.16,-14.539999999999655,29
2024-10-29 14:50:00+00:00,2024-10-29 20:45:00+00:00,long,1.0,2762.93,2772.47,signal,signal,9.539999999999964,0.16,9.379999999999963,71
2024-10-30 09:50:00+00:00,2024-10-30 16:45:00+00:00,short,1.0,2780.52,2784.0,signal,signal,-3.480000000000018,0.16,-3.6400000000000183,83
2024-10-31 08:25:00+00:00,2024-10-31 15:20:00+00:00,short,1.0,2781.39,2756.36,signal,signal,25.029999999999745,0.16,24.86999999999975,83
2024-11-01 09:15:00+00:00,2024-11-01 16:10:00+00:00,short,1.0,2752.46,2745.11,signal,signal,7.349999999999909,0.16,7.189999999999909,83
2024-11-01 16:20:00+00:00,2024-11-01 20:35:00+00:00,short,1.0,2748.56,2734.76,signal,signal,13.799999999999727,0.16,13.639999999999727,51
2024-11-04 00:05:00+00:00,2024-11-04 00:25:00+00:00,short,1.0,2739.8,2739.01,signal,signal,0.7899999999999636,0.16,0.6299999999999637,4
2024-11-04 09:15:00+00:00,2024-11-04 20:45:00+00:00,short,1.0,2733.84,2737.32,signal,signal,-3.480000000000018,0.16,-3.6400000000000183,138
2024-11-05 00:05:00+00:00,2024-11-05 00:10:00+00:00,short,1.0,2735.77,2734.45,signal,signal,1.3200000000001637,0.16,1.1600000000001636,1
2024-11-05 11:20:00+00:00,2024-11-05 18:15:00+00:00,short,1.0,2739.57,2741.93,signal,signal,-2.3599999999996726,0.16,-2.5199999999996727,83
2024-11-06 07:05:00+00:00,2024-11-06 14:00:00+00:00,short,1.0,2712.14,2664.23,signal,signal,47.909999999999854,0.16,47.74999999999986,83
2024-11-07 13:10:00+00:00,2024-11-07 20:05:00+00:00,long,1.0,2676.82,2699.47,signal,signal,22.649999999999636,0.16,22.48999999999964,83
2024-11-07 20:25:00+00:00,2024-11-07 20:45:00+00:00,long,1.0,2709.83,2703.63,signal,signal,-6.199999999999818,0.16,-6.359999999999818,4
2024-11-08 00:05:00+00:00,2024-11-08 04:25:00+00:00,long,1.0,2707.9,2694.18,signal,signal,-13.720000000000255,0.16,-13.880000000000255,52
2024-11-08 13:55:00+00:00,2024-11-08 20:35:00+00:00,long,1.0,2700.57,2687.56,signal,signal,-13.010000000000218,0.16,-13.170000000000218,80
2024-11-11 19:05:00+00:00,2024-11-11 20:45:00+00:00,long,1.0,2620.03,2625.26,signal,signal,5.230000000000018,0.16,5.070000000000018,20
2024-11-12 00:05:00+00:00,2024-11-12 03:05:00+00:00,long,1.0,2622.93,2622.98,signal,signal,0.0500000000001819,0.16,-0.1099999999998181,36
