kind,factor,side,win,thr,hold,spec,res_sharpe,res_pnl,res_trades,res_avg,res_pf,res_maxdd,f1_train_sharpe,f1_train_trades,f1_train_avg,f1_test_sharpe,f1_test_pnl,f1_test_trades,f1_test_avg,f1_test_pf,f2_train_sharpe,f2_train_trades,f2_train_avg,f2_test_sharpe,f2_test_pnl,f2_test_trades,f2_test_avg,f2_test_pf,f3_train_sharpe,f3_train_trades,f3_train_avg,f3_test_sharpe,f3_test_pnl,f3_test_trades,f3_test_avg,f3_test_pf,f4_train_sharpe,f4_train_trades,f4_train_avg,f4_test_sharpe,f4_test_pnl,f4_test_trades,f4_test_avg,f4_test_pf
single,plus_di_14,short,8640,1.5,24,single|plus_di_14|short|W8640|T1.5|H24,-0.69,-66093.0,1186,-55.73,0.875,-87400.0,-0.96,177,-26.25,-0.68,-6163.0,254,-24.26,0.914,-0.75,431,-25.08,-1.63,-14759.0,270,-54.66,0.823,-1.08,701,-36.47,-1.62,-21478.0,234,-91.79,0.798,-1.24,935,-50.32,-0.5,-19047.0,251,-75.88,0.918
single,plus_di_14,short,8640,1.5,36,single|plus_di_14|short|W8640|T1.5|H36,-0.17,-17571.0,1059,-16.59,0.967,-51831.0,-1.67,161,-56.06,0.01,60.0,228,0.26,1.001,-0.55,389,-23.05,-1.44,-14279.0,240,-59.5,0.839,-0.88,629,-36.95,-0.67,-9919.0,208,-47.69,0.908,-0.78,837,-39.62,0.37,15592.0,222,70.23,1.072
single,plus_di_14,short,8640,1.5,84,single|plus_di_14|short|W8640|T1.5|H84,-0.56,-66943.0,809,-82.75,0.888,-82604.0,-0.84,125,-44.76,-0.82,-10199.0,176,-57.95,0.887,-0.8,301,-52.47,-1.44,-17378.0,183,-94.96,0.82,-1.04,484,-68.54,-0.86,-15472.0,159,-97.31,0.871,-0.95,643,-75.65,-0.39,-18299.0,166,-110.23,0.926
single,plus_di_14,short,8640,1.5,120,single|plus_di_14|short|W8640|T1.5|H120,-0.35,-43158.0,715,-60.36,0.927,-69426.0,-1.67,113,-107.35,-0.64,-8497.0,155,-54.82,0.899,-0.97,268,-76.97,-1.78,-22610.0,163,-138.71,0.759,-1.27,431,-100.32,0.51,9686.0,138,70.19,1.086,-0.61,569,-58.97,-0.2,-9606.0,146,-65.79,0.961
single,plus_di_14,long,8640,1.75,24,single|plus_di_14|long|W8640|T1.75|H24,0.99,64698.0,1306,49.54,1.157,-30353.0,2.18,238,50.54,-2.83,-25187.0,271,-92.94,0.694,-0.89,509,-25.85,1.48,11928.0,285,41.85,1.203,-0.05,794,-1.55,2.97,37498.0,261,143.67,1.478,1.0,1055,34.38,1.24,28431.0,251,113.27,1.184
single,plus_di_14,long,8640,1.75,36,single|plus_di_14|long|W8640|T1.75|H36,1.1,81463.0,1160,70.23,1.186,-37955.0,0.78,213,22.71,-2.65,-26977.0,244,-110.56,0.703,-1.32,457,-48.44,1.02,9228.0,246,37.51,1.134,-0.5,703,-18.37,3.08,43719.0,230,190.08,1.552,0.75,933,33.02,1.94,50655.0,227,223.15,1.338
single,plus_di_14,long,8640,1.75,84,single|plus_di_14|long|W8640|T1.75|H84,1.69,158587.0,896,176.99,1.352,-23271.0,0.7,165,31.88,-0.57,-7107.0,185,-38.42,0.922,-0.09,350,-5.27,1.69,20070.0,191,105.08,1.271,0.56,541,33.69,2.76,49504.0,178,278.11,1.517,1.31,719,94.2,2.75,90859.0,177,513.33,1.641
single,plus_di_14,long,8640,1.75,120,single|plus_di_14|long|W8640|T1.75|H120,2.0,198177.0,784,252.78,1.461,-34565.0,0.86,146,46.43,-0.24,-3205.0,168,-19.08,0.964,0.16,314,11.38,3.29,39872.0,159,250.77,1.642,1.28,473,91.85,3.57,67254.0,157,428.37,1.797,2.04,630,175.71,2.49,87477.0,154,568.03,1.585
single,plus_di_14,short,8640,1.75,24,single|plus_di_14|short|W8640|T1.75|H24,-0.65,-53311.0,667,-79.93,0.848,-80322.0,-1.09,96,-45.0,-0.14,-978.0,144,-6.79,0.977,-0.46,240,-22.08,-0.17,-1271.0,149,-8.53,0.976,-0.34,389,-16.89,-1.86,-19811.0,126,-157.23,0.725,-0.86,515,-51.22,-0.8,-26931.0,152,-177.18,0.833
single,plus_di_14,short,8640,1.75,36,single|plus_di_14|short|W8640|T1.75|H36,-0.8,-70716.0,619,-114.24,0.808,-73608.0,-1.95,90,-95.63,-0.05,-390.0,132,-2.95,0.992,-0.7,222,-40.53,-1.08,-8963.0,136,-65.9,0.852,-0.84,358,-50.17,-2.04,-24144.0,118,-204.61,0.687,-1.24,476,-88.45,-0.79,-28612.0,143,-200.08,0.818
single,plus_di_14,short,8640,1.75,84,single|plus_di_14|short|W8640|T1.75|H84,-0.87,-92622.0,524,-176.76,0.8,-97905.0,-1.48,81,-103.11,-1.42,-14694.0,114,-128.89,0.776,-1.39,195,-118.18,-1.21,-12267.0,112,-109.53,0.817,-1.32,307,-115.03,-0.45,-6610.0,99,-66.77,0.907,-0.98,406,-103.26,-1.19,-50699.0,118,-429.65,0.78
single,plus_di_14,short,8640,1.75,120,single|plus_di_14|short|W8640|T1.75|H120,-0.55,-62775.0,485,-129.43,0.858,-91404.0,-1.87,79,-147.87,-1.3,-14832.0,108,-137.33,0.789,-1.45,187,-141.79,-1.24,-13487.0,103,-130.94,0.793,-1.36,290,-137.93,-0.33,-5270.0,89,-59.21,0.934,-0.98,379,-119.45,-0.38,-17504.0,106,-165.13,0.908
single,plus_di_14,long,8640,2.0,24,single|plus_di_14|long|W8640|T2|H24,1.33,74725.0,966,77.36,1.253,-25620.0,2.24,188,61.16,-2.17,-17153.0,200,-85.77,0.706,-0.43,388,-14.57,1.23,8625.0,207,41.67,1.189,0.15,595,4.99,4.09,45224.0,190,238.02,1.886,1.5,785,61.39,1.37,26530.0,181,146.57,1.242
single,plus_di_14,long,8640,2.0,36,single|plus_di_14|long|W8640|T2|H36,1.41,90441.0,881,102.66,1.281,-18970.0,1.19,174,38.95,-1.27,-11405.0,183,-62.32,0.812,-0.31,357,-12.96,0.7,5655.0,184,30.73,1.105,0.04,541,1.9,3.68,45073.0,171,263.58,1.793,1.28,712,64.75,1.99,44341.0,169,262.37,1.399
single,plus_di_14,long,8640,2.0,84,single|plus_di_14|long|W8640|T2|H84,1.85,151551.0,714,212.26,1.443,-26744.0,1.0,140,50.77,-0.07,-828.0,146,-5.67,0.988,0.34,286,21.96,0.89,9534.0,152,62.72,1.145,0.54,438,36.11,3.85,59584.0,136,438.12,2.008,1.64,574,131.36,2.67,76153.0,140,543.95,1.682
single,plus_di_14,long,8640,2.0,120,single|plus_di_14|long|W8640|T2|H120,2.11,184959.0,645,286.76,1.537,-29292.0,0.9,127,53.9,0.23,2779.0,132,21.05,1.043,0.48,259,37.16,1.56,17884.0,133,134.47,1.288,0.88,392,70.17,4.02,67135.0,127,528.62,2.132,1.92,519,182.36,2.95,90316.0,126,716.79,1.795
single,plus_di_14,short,8640,2.0,24,single|plus_di_14|short|W8640|T2|H24,-0.92,-60262.0,323,-186.57,0.703,-89601.0,0.59,44,39.52,-0.14,-775.0,70,-11.07,0.963,0.11,114,8.46,0.09,515.0,77,6.69,1.016,0.1,191,7.74,-0.69,-4892.0,57,-85.82,0.799,-0.15,248,-13.76,-2.08,-56849.0,75,-757.99,0.512
single,plus_di_14,short,8640,2.0,36,single|plus_di_14|short|W8640|T2|H36,-1.15,-81331.0,312,-260.68,0.643,-99141.0,-1.26,43,-98.88,0.12,687.0,68,10.1,1.031,-0.37,111,-32.12,-0.17,-1093.0,73,-14.97,0.969,-0.28,184,-25.32,-0.41,-3409.0,57,-59.81,0.892,-0.32,241,-33.47,-2.53,-73264.0,71,-1031.89,0.413
