factor,win,thr,long_when,hold,is_sharpe,is_pnl,is_trades,is_avg_usd,is_pf,is_maxdd,oos_sharpe,oos_pnl,oos_trades,oos_avg_usd,oos_pf,all_trades,all_pnl,all_avg_usd,all_pf
lower_shadow_pct,2016,1.5,high,12,-0.48,-29084.0,6033,-4.87,0.974,-73398.0,-0.11,-8961.0,2592,-3.33,0.994,8625,-38045.0,-4.41,0.985
lower_shadow_pct,2016,1.5,high,84,1.47,113584.0,1597,70.02,1.161,-43116.0,-0.95,-98649.0,688,-140.82,0.906,2285,14935.0,6.54,1.009
lower_shadow_pct,2016,1.5,low,12,-2.7,-163956.0,6033,-27.13,0.864,-169241.0,-0.9,-73999.0,2592,-28.67,0.947,8625,-237955.0,-27.59,0.908
lower_shadow_pct,2016,1.5,low,84,-2.13,-164672.0,1597,-102.02,0.805,-174601.0,0.74,76617.0,688,108.82,1.08,2285,-88055.0,-38.54,0.95
lower_shadow_pct,2016,2.5,high,12,0.04,1199.0,1635,0.54,1.003,-20829.0,-2.56,-106905.0,695,-153.36,0.752,2330,-105706.0,-45.37,0.853
lower_shadow_pct,2016,2.5,high,84,0.46,27136.0,940,28.75,1.062,-34508.0,-0.86,-65058.0,405,-160.37,0.887,1345,-37922.0,-28.19,0.962
lower_shadow_pct,2016,2.5,low,12,-1.77,-53503.0,1635,-32.54,0.832,-55158.0,2.03,84649.0,695,121.36,1.253,2330,31146.0,13.37,1.048
lower_shadow_pct,2016,2.5,low,84,-0.97,-57200.0,940,-60.75,0.881,-64981.0,0.69,52082.0,405,128.37,1.101,1345,-5118.0,-3.81,0.995
lower_shadow_pct,6048,1.5,high,12,-0.38,-22701.0,5966,-3.86,0.98,-71735.0,-0.29,-24120.0,2591,-9.19,0.983,8557,-46821.0,-5.47,0.981
lower_shadow_pct,6048,1.5,high,84,1.44,110983.0,1578,69.21,1.158,-44705.0,-1.17,-121897.0,688,-174.61,0.884,2266,-10914.0,-4.82,0.994
lower_shadow_pct,6048,1.5,low,12,-2.78,-168195.0,5966,-28.14,0.86,-170639.0,-0.71,-58808.0,2591,-22.81,0.958,8557,-227003.0,-26.53,0.913
lower_shadow_pct,6048,1.5,low,84,-2.1,-161463.0,1578,-101.21,0.807,-166416.0,0.96,99865.0,688,142.61,1.106,2266,-61598.0,-27.18,0.965
lower_shadow_pct,6048,2.5,high,12,-0.25,-7761.0,1627,-4.96,0.973,-33583.0,-2.23,-92532.0,688,-134.03,0.782,2315,-100293.0,-43.32,0.861
lower_shadow_pct,6048,2.5,high,84,0.54,32156.0,940,34.09,1.073,-35169.0,-0.74,-55699.0,403,-137.94,0.903,1343,-23543.0,-17.53,0.977
lower_shadow_pct,6048,2.5,low,12,-1.44,-44287.0,1627,-27.04,0.862,-44704.0,1.7,70500.0,688,102.03,1.206,2315,26213.0,11.32,1.04
lower_shadow_pct,6048,2.5,low,84,-1.04,-62220.0,940,-66.09,0.873,-65166.0,0.57,42787.0,403,105.94,1.082,1343,-19433.0,-14.47,0.981
hl_range_pct,2016,1.5,high,12,0.14,8155.0,2831,2.88,1.011,-46931.0,-1.31,-107407.0,1289,-83.33,0.899,4120,-99252.0,-24.09,0.946
hl_range_pct,2016,1.5,high,84,1.18,86856.0,1038,83.68,1.155,-31436.0,-1.22,-121240.0,474,-255.78,0.85,1512,-34384.0,-22.74,0.975
hl_range_pct,2016,1.5,low,12,-1.69,-98747.0,2831,-34.88,0.878,-104466.0,0.81,66159.0,1289,51.33,1.067,4120,-32588.0,-7.91,0.982
hl_range_pct,2016,1.5,low,84,-1.63,-120072.0,1038,-115.68,0.82,-130570.0,1.07,106072.0,474,223.78,1.153,1512,-14000.0,-9.26,0.99
hl_range_pct,2016,2.5,high,12,0.2,9474.0,1453,6.52,1.022,-41486.0,-1.2,-83276.0,666,-125.04,0.87,2119,-73802.0,-34.83,0.931
hl_range_pct,2016,2.5,high,84,0.84,54586.0,711,76.77,1.134,-37916.0,-1.31,-116597.0,330,-353.32,0.822,1041,-62011.0,-59.57,0.942
hl_range_pct,2016,2.5,low,12,-1.18,-55970.0,1453,-38.52,0.878,-60135.0,0.89,61964.0,666,93.04,1.109,2119,5994.0,2.83,1.006
hl_range_pct,2016,2.5,low,84,-1.19,-77338.0,711,-108.77,0.837,-88051.0,1.19,106037.0,330,321.32,1.196,1041,28699.0,27.57,1.028
hl_range_pct,6048,1.5,high,12,0.3,17389.0,2775,6.27,1.023,-50885.0,-0.8,-66486.0,1224,-54.32,0.937,3999,-49097.0,-12.28,0.973
hl_range_pct,6048,1.5,high,84,1.52,111310.0,1003,110.56,1.207,-33771.0,-1.23,-123384.0,443,-277.58,0.85,1446,-12074.0,-8.35,0.991
hl_range_pct,6048,1.5,low,12,-1.81,-106189.0,2775,-38.27,0.869,-110304.0,0.33,27318.0,1224,22.32,1.027,3999,-78871.0,-19.72,0.957
hl_range_pct,6048,1.5,low,84,-1.96,-143390.0,1003,-142.56,0.785,-149842.0,1.09,109192.0,443,245.58,1.154,1446,-34198.0,-23.65,0.975
hl_range_pct,6048,2.5,high,12,-0.04,-1788.0,1394,-1.28,0.996,-44158.0,-1.04,-75075.0,631,-118.98,0.883,2025,-76863.0,-37.96,0.928
hl_range_pct,6048,2.5,high,84,0.84,54056.0,672,80.44,1.139,-45741.0,-0.61,-54847.0,310,-176.93,0.906,982,-791.0,-0.81,0.999
hl_range_pct,6048,2.5,low,12,-0.9,-42820.0,1394,-30.72,0.904,-49575.0,0.76,54883.0,631,86.98,1.095,2025,12063.0,5.96,1.012
hl_range_pct,6048,2.5,low,84,-1.18,-75560.0,672,-112.44,0.834,-82812.0,0.5,44927.0,310,144.93,1.085,982,-30633.0,-31.19,0.969
gap_pct,2016,1.5,high,12,0.47,11439.0,646,17.71,1.076,-13157.0,-1.09,-49536.0,201,-246.45,0.791,847,-38097.0,-44.98,0.902
gap_pct,2016,1.5,high,84,-0.7,-28667.0,402,-71.31,0.865,-37183.0,-1.05,-68431.0,120,-570.26,0.746,522,-97098.0,-186.01,0.799
gap_pct,2016,1.5,low,12,-1.33,-32111.0,646,-49.71,0.813,-37981.0,0.95,43104.0,201,214.45,1.226,847,10993.0,12.98,1.03
gap_pct,2016,1.5,low,84,0.38,15803.0,402,39.31,1.083,-22571.0,0.99,64591.0,120,538.26,1.318,522,80394.0,154.01,1.204
