factor,win,thr,long_when,hold,is_sharpe,is_pnl,is_trades,is_avg_usd,is_pf,is_maxdd,oos_sharpe,oos_pnl,oos_trades,oos_avg_usd,oos_pf,all_trades,all_pnl,all_avg_usd,all_pf
clv,672,1.5,high,28,-0.32,-181.0,1138,-0.17,0.961,-506.0,-0.05,-37.0,495,-0.05,0.995,1633,-217.0,-0.13,0.978
clv,672,1.5,low,4,-1.44,-523.0,2823,-0.19,0.898,-623.0,-0.32,-147.0,1246,-0.12,0.973,4069,-670.0,-0.16,0.937
clv,672,1.5,low,28,-0.33,-183.0,1138,-0.15,0.966,-577.0,-0.18,-122.0,495,-0.27,0.974,1633,-305.0,-0.19,0.97
clv,2016,1.5,high,4,-0.71,-259.0,2795,-0.09,0.949,-348.0,-1.95,-879.0,1245,-0.71,0.849,4040,-1138.0,-0.28,0.895
clv,2016,1.5,high,28,-1.13,-633.0,1123,-0.57,0.875,-740.0,-0.15,-102.0,498,-0.18,0.983,1621,-735.0,-0.45,0.929
clv,2016,1.5,low,4,-1.73,-635.0,2795,-0.23,0.878,-774.0,1.07,480.0,1245,0.39,1.093,4040,-155.0,-0.04,0.985
clv,2016,1.5,low,28,0.49,274.0,1123,0.25,1.061,-508.0,-0.08,-58.0,498,-0.14,0.987,1621,216.0,0.13,1.022
close_vs_ema200_pct,672,1.5,high,4,-0.1,-35.0,1724,-0.02,0.99,-301.0,-0.19,-90.0,723,-0.12,0.979,2447,-125.0,-0.05,0.984
close_vs_ema200_pct,672,1.5,high,28,1.05,443.0,492,0.9,1.211,-158.0,1.49,822.0,207,3.97,1.399,699,1265.0,1.81,1.304
close_vs_ema200_pct,672,1.5,low,4,-1.52,-516.0,1724,-0.3,0.863,-567.0,-0.29,-141.0,723,-0.2,0.967,2447,-658.0,-0.27,0.918
close_vs_ema200_pct,672,1.5,low,28,-1.42,-600.0,492,-1.22,0.771,-741.0,-1.61,-888.0,207,-4.29,0.695,699,-1488.0,-2.13,0.731
close_vs_ema200_pct,672,2.5,high,4,-1.09,-206.0,383,-0.54,0.807,-233.0,0.59,223.0,168,1.33,1.125,551,17.0,0.03,1.006
close_vs_ema200_pct,672,2.5,high,28,-0.27,-68.0,139,-0.49,0.908,-220.0,1.46,647.0,63,10.27,1.813,202,579.0,2.87,1.378
close_vs_ema200_pct,672,2.5,low,4,0.44,83.0,383,0.22,1.09,-112.0,-0.73,-277.0,168,-1.65,0.863,551,-194.0,-0.35,0.934
close_vs_ema200_pct,672,2.5,low,28,0.09,23.0,139,0.17,1.033,-143.0,-1.5,-667.0,63,-10.59,0.541,202,-644.0,-3.19,0.7
close_vs_ema200_pct,2016,1.5,high,4,-0.53,-166.0,1380,-0.12,0.944,-268.0,-0.14,-62.0,586,-0.11,0.983,1966,-228.0,-0.12,0.965
close_vs_ema200_pct,2016,1.5,high,28,0.76,301.0,390,0.77,1.171,-151.0,0.99,563.0,163,3.46,1.31,553,865.0,1.56,1.242
close_vs_ema200_pct,2016,1.5,low,4,-0.89,-276.0,1380,-0.2,0.908,-460.0,-0.28,-125.0,586,-0.21,0.966,1966,-401.0,-0.2,0.94
close_vs_ema200_pct,2016,1.5,low,28,-1.08,-426.0,390,-1.09,0.8,-563.0,-1.08,-616.0,163,-3.78,0.744,553,-1041.0,-1.88,0.77
close_vs_ema200_pct,2016,2.5,high,4,-0.94,-161.0,260,-0.62,0.783,-185.0,0.1,38.0,122,0.31,1.024,382,-124.0,-0.32,0.947
close_vs_ema200_pct,2016,2.5,high,28,0.18,42.0,87,0.48,1.089,-102.0,0.87,377.0,47,8.02,1.502,134,418.0,3.12,1.344
close_vs_ema200_pct,2016,2.5,low,4,0.46,78.0,260,0.3,1.126,-91.0,-0.21,-77.0,122,-0.63,0.953,382,2.0,0.0,1.001
close_vs_ema200_pct,2016,2.5,low,28,-0.3,-69.0,87,-0.8,0.867,-177.0,-0.91,-392.0,47,-8.34,0.655,134,-461.0,-3.44,0.721
close_vs_sma20_pct,672,1.5,high,4,-0.37,-130.0,1439,-0.09,0.963,-344.0,-0.64,-316.0,616,-0.51,0.917,2055,-446.0,-0.22,0.939
close_vs_sma20_pct,672,1.5,high,28,-0.8,-390.0,607,-0.64,0.886,-746.0,0.78,505.0,287,1.76,1.153,894,115.0,0.13,1.017
