key,method,N,W,T,V,H,regime,session,exit,pnl,sharpe,trades,avg
vote:N5:W288:T1.5:V2:H12:trend_not_choppy:london:trail2,vote,5,288,1.5,2,12,trend_not_choppy,london,trail2,35.80000000000567,0.0703921848906794,2467,0.02902310498581732
vote:N5:W288:T1.5:V2:H12:trend_not_choppy:new_york:none,vote,5,288,1.5,2,12,trend_not_choppy,new_york,none,142.66999999999808,0.27646852831724444,1903,0.1499421965317899
vote:N5:W288:T1.5:V2:H12:trend_not_choppy:new_york:stop1_5,vote,5,288,1.5,2,12,trend_not_choppy,new_york,stop1_5,142.66999999999808,0.27646852831724444,1903,0.1499421965317899
vote:N5:W288:T1.5:V2:H12:trend_not_choppy:new_york:trail2,vote,5,288,1.5,2,12,trend_not_choppy,new_york,trail2,142.66999999999808,0.27646852831724444,1903,0.1499421965317899
vote:N5:W288:T1.5:V2:H12:trend_not_choppy:overlap:none,vote,5,288,1.5,2,12,trend_not_choppy,overlap,none,60.70000000000424,0.15963205448511023,930,0.13053763440861127
vote:N5:W288:T1.5:V2:H12:trend_not_choppy:overlap:stop1_5,vote,5,288,1.5,2,12,trend_not_choppy,overlap,stop1_5,60.70000000000424,0.15963205448511023,930,0.13053763440861127
vote:N5:W288:T1.5:V2:H12:trend_not_choppy:overlap:trail2,vote,5,288,1.5,2,12,trend_not_choppy,overlap,trail2,60.70000000000424,0.15963205448511023,930,0.13053763440861127
vote:N5:W288:T1.5:V2:H24:none:all:none,vote,5,288,1.5,2,24,none,all,none,-1220.4899999999793,-0.7793063025706338,11972,-0.20389074507183083
vote:N5:W288:T1.5:V2:H24:none:all:stop1_5,vote,5,288,1.5,2,24,none,all,stop1_5,-1220.4899999999793,-0.7793063025706338,11972,-0.20389074507183083
vote:N5:W288:T1.5:V2:H24:none:all:trail2,vote,5,288,1.5,2,24,none,all,trail2,-1220.4899999999793,-0.7793063025706338,11972,-0.20389074507183083
vote:N5:W288:T1.5:V2:H24:none:london:none,vote,5,288,1.5,2,24,none,london,none,-983.379999999997,-0.8236666537493568,5820,-0.3379312714776622
vote:N5:W288:T1.5:V2:H24:none:london:stop1_5,vote,5,288,1.5,2,24,none,london,stop1_5,-983.379999999997,-0.8236666537493568,5820,-0.3379312714776622
vote:N5:W288:T1.5:V2:H24:none:london:trail2,vote,5,288,1.5,2,24,none,london,trail2,-983.379999999997,-0.8236666537493568,5820,-0.3379312714776622
vote:N5:W288:T1.5:V2:H24:none:new_york:none,vote,5,288,1.5,2,24,none,new_york,none,-88.80999999998274,-0.07995770528261567,4735,-0.037512143611397146
vote:N5:W288:T1.5:V2:H24:none:new_york:stop1_5,vote,5,288,1.5,2,24,none,new_york,stop1_5,-88.80999999998274,-0.07995770528261567,4735,-0.037512143611397146
vote:N5:W288:T1.5:V2:H24:none:new_york:trail2,vote,5,288,1.5,2,24,none,new_york,trail2,-88.80999999998274,-0.07995770528261567,4735,-0.037512143611397146
vote:N5:W288:T1.5:V2:H24:none:overlap:none,vote,5,288,1.5,2,24,none,overlap,none,-304.80999999999443,-0.31674416290128365,2675,-0.22789532710279958
vote:N5:W288:T1.5:V2:H24:none:overlap:stop1_5,vote,5,288,1.5,2,24,none,overlap,stop1_5,-304.80999999999443,-0.31674416290128365,2675,-0.22789532710279958
vote:N5:W288:T1.5:V2:H24:none:overlap:trail2,vote,5,288,1.5,2,24,none,overlap,trail2,-304.80999999999443,-0.31674416290128365,2675,-0.22789532710279958
vote:N5:W288:T1.5:V2:H24:trend:all:none,vote,5,288,1.5,2,24,trend,all,none,571.3000000000009,0.5021595124052689,6964,0.16407237219988538
vote:N5:W288:T1.5:V2:H24:trend:all:stop1_5,vote,5,288,1.5,2,24,trend,all,stop1_5,571.3000000000009,0.5021595124052689,6964,0.16407237219988538
vote:N5:W288:T1.5:V2:H24:trend:all:trail2,vote,5,288,1.5,2,24,trend,all,trail2,571.3000000000009,0.5021595124052689,6964,0.16407237219988538
vote:N5:W288:T1.5:V2:H24:trend:london:none,vote,5,288,1.5,2,24,trend,london,none,589.6800000000007,0.7165358907368925,3150,0.37440000000000045
vote:N5:W288:T1.5:V2:H24:trend:london:stop1_5,vote,5,288,1.5,2,24,trend,london,stop1_5,589.6800000000007,0.7165358907368925,3150,0.37440000000000045
vote:N5:W288:T1.5:V2:H24:trend:london:trail2,vote,5,288,1.5,2,24,trend,london,trail2,589.6800000000007,0.7165358907368925,3150,0.37440000000000045
vote:N5:W288:T1.5:V2:H24:trend:new_york:none,vote,5,288,1.5,2,24,trend,new_york,none,804.2800000000049,1.0434596866200596,2514,0.6398408910103459
vote:N5:W288:T1.5:V2:H24:trend:new_york:stop1_5,vote,5,288,1.5,2,24,trend,new_york,stop1_5,804.2800000000049,1.0434596866200596,2514,0.6398408910103459
vote:N5:W288:T1.5:V2:H24:trend:new_york:trail2,vote,5,288,1.5,2,24,trend,new_york,trail2,804.2800000000049,1.0434596866200596,2514,0.6398408910103459
vote:N5:W288:T1.5:V2:H24:trend:overlap:none,vote,5,288,1.5,2,24,trend,overlap,none,683.7500000000058,1.0876858065492803,1315,1.0399239543726324
vote:N5:W288:T1.5:V2:H24:trend:overlap:stop1_5,vote,5,288,1.5,2,24,trend,overlap,stop1_5,683.7500000000058,1.0876858065492803,1315,1.0399239543726324
vote:N5:W288:T1.5:V2:H24:trend:overlap:trail2,vote,5,288,1.5,2,24,trend,overlap,trail2,683.7500000000058,1.0876858065492803,1315,1.0399239543726324
vote:N5:W288:T1.5:V2:H24:trend_adx:all:none,vote,5,288,1.5,2,24,trend_adx,all,none,499.6900000000097,0.578864546761085,3449,0.289759350536393
vote:N5:W288:T1.5:V2:H24:trend_adx:all:stop1_5,vote,5,288,1.5,2,24,trend_adx,all,stop1_5,499.6900000000097,0.578864546761085,3449,0.289759350536393
vote:N5:W288:T1.5:V2:H24:trend_adx:all:trail2,vote,5,288,1.5,2,24,trend_adx,all,trail2,499.6900000000097,0.578864546761085,3449,0.289759350536393
vote:N5:W288:T1.5:V2:H24:trend_adx:london:none,vote,5,288,1.5,2,24,trend_adx,london,none,436.68000000000393,0.7453288022538189,1669,0.5232834032354751
vote:N5:W288:T1.5:V2:H24:trend_adx:london:stop1_5,vote,5,288,1.5,2,24,trend_adx,london,stop1_5,436.68000000000393,0.7453288022538189,1669,0.5232834032354751
