entry_i,entry_time,side,oz,entry_px,entry_reason,entry_cost,entry_atr,best_px,exit_i,exit_time,exit_px,gross_pnl,costs,net_pnl,bars_held,exit_reason
99719,1739261400,-1,1.0,2912.48,signal,0.08,,2912.48,99802,1739286300,2892.89,19.590000000000146,0.16,19.43000000000015,83,signal
100096,1739378400,-1,1.0,2896.4,signal,0.08,,2896.4,100103,1739380500,2908.76,-12.360000000000127,0.16,-12.520000000000127,7,signal
100103,1739380500,1,1.0,2908.76,signal,0.08,,2908.76,100145,1739393100,2900.6,-8.16000000000031,0.16,-8.32000000000031,42,signal
100172,1739405100,1,1.0,2906.86,signal,0.08,,2906.86,100186,1739409300,2905.67,-1.1900000000000546,0.16,-1.3500000000000547,14,signal
100261,1739431800,-1,1.0,2916.27,signal,0.08,,2916.27,100344,1739456700,2912.38,3.8899999999998727,0.16,3.7299999999998725,83,signal
100348,1739457900,-1,1.0,2914.38,signal,0.08,,2914.38,100420,1739479500,2928.05,-13.670000000000073,0.16,-13.830000000000073,72,signal
100598,1739536800,-1,1.0,2929.57,signal,0.08,,2929.57,100681,1739561700,2882.52,47.05000000000018,0.16,46.890000000000185,83,signal
105263,1741704000,1,1.0,2919.05,signal,0.08,,2919.05,105336,1741725900,2921.28,2.230000000000018,0.16,2.070000000000018,73,signal
105525,1741786500,1,1.0,2920.83,signal,0.08,,2920.83,105608,1741811400,2934.64,13.809999999999945,0.16,13.649999999999945,83,signal
105826,1741880700,1,1.0,2964.89,signal,0.08,,2964.89,105886,1741898700,2981.54,16.65000000000009,0.16,16.490000000000094,60,signal
106973,1742413500,1,1.0,3047.97,signal,0.08,,3047.97,106985,1742417100,3047.07,-0.8999999999996362,0.16,-1.0599999999996361,12,signal
107012,1742429100,1,1.0,3049.25,signal,0.08,,3049.25,107056,1742442300,3047.85,-1.400000000000091,0.16,-1.560000000000091,44,signal
108016,1742915100,1,1.0,3033.77,signal,0.08,,3033.77,108084,1742935500,3020.14,-13.63000000000011,0.16,-13.79000000000011,68,signal
109045,1743412500,-1,1.0,3124.88,signal,0.08,,3124.88,109128,1743437400,3122.83,2.050000000000182,0.16,1.8900000000001818,83,signal
109313,1743496800,-1,1.0,3128.02,signal,0.08,,3128.02,109396,1743521700,3126.61,1.4099999999998545,0.16,1.2499999999998543,83,signal
109404,1743524100,-1,1.0,3131.05,signal,0.08,,3131.05,109458,1743540300,3116.88,14.170000000000073,0.16,14.010000000000073,54,signal
109485,1743552300,-1,1.0,3113.62,signal,0.08,,3113.62,109487,1743552900,3111.97,1.650000000000091,0.16,1.4900000000000908,2,signal
109569,1743577500,-1,1.0,3117.91,signal,0.08,,3117.91,109652,1743602400,3122.47,-4.559999999999945,0.16,-4.719999999999946,83,signal
109684,1743612000,-1,1.0,3126.94,signal,0.08,,3126.94,109733,1743626700,3126.54,0.40000000000009095,0.16,0.24000000000009092,49,signal
109760,1743638700,-1,1.0,3148.72,signal,0.08,,3148.72,109767,1743640800,3159.82,-11.100000000000364,0.16,-11.260000000000364,7,signal
109845,1743664200,-1,1.0,3130.85,signal,0.08,,3130.85,109928,1743689100,3068.12,62.73000000000002,0.16,62.57000000000002,83,signal
109941,1743693000,1,1.0,3106.0,signal,0.08,,3106.0,110008,1743713100,3104.62,-1.3800000000001091,0.16,-1.5400000000001093,67,signal
111331,1744302600,1,1.0,3170.73,signal,0.08,,3170.73,111382,1744317900,3174.19,3.4600000000000364,0.16,3.3000000000000362,51,signal
111410,1744329900,1,1.0,3189.77,signal,0.08,,3189.77,111414,1744331100,3184.6,-5.170000000000073,0.16,-5.330000000000073,4,signal
111797,1744623000,-1,1.0,3224.66,signal,0.08,,3224.66,111880,1744647900,3207.75,16.909999999999854,0.16,16.749999999999858,83,signal
112183,1744742700,1,1.0,3228.84,signal,0.08,,3228.84,112207,1744749900,3227.94,-0.900000000000091,0.16,-1.0600000000000909,24,signal
112234,1744761900,1,1.0,3240.19,signal,0.08,,3240.19,112266,1744771500,3265.86,25.670000000000073,0.16,25.510000000000076,32,signal
112369,1744802400,-1,1.0,3302.33,signal,0.08,,3302.33,112452,1744827300,3326.79,-24.460000000000036,0.16,-24.620000000000033,83,signal
112605,1744877100,-1,1.0,3329.75,signal,0.08,,3329.75,112667,1744895700,3336.43,-6.679999999999836,0.16,-6.839999999999836,62,signal
112667,1744895700,1,1.0,3336.43,signal,0.08,,3336.43,112750,1744920600,3316.44,-19.98999999999978,0.16,-20.14999999999978,83,signal
112954,1745244300,1,1.0,3421.13,signal,0.08,,3421.13,113034,1745268300,3418.38,-2.75,0.16,-2.91,80,signal
113172,1745313600,-1,1.0,3466.96,signal,0.08,,3466.96,113255,1745338500,3426.16,40.80000000000018,0.16,40.640000000000185,83,signal
113258,1745339400,-1,1.0,3412.65,signal,0.08,,3412.65,113309,1745354700,3374.87,37.7800000000002,0.16,37.6200000000002,51,signal
113336,1745366700,-1,1.0,3335.24,signal,0.08,,3335.24,113341,1745368200,3339.62,-4.380000000000109,0.16,-4.540000000000109,5,signal
113885,1745539500,1,1.0,3359.49,signal,0.08,,3359.49,113943,1745556900,3336.39,-23.09999999999991,0.16,-23.259999999999906,58,signal
114159,1745798700,1,1.0,3312.23,signal,0.08,,3312.23,114215,1745815500,3293.43,-18.800000000000182,0.16,-18.96000000000018,56,signal
114343,1745853900,1,1.0,3313.3,signal,0.08,,3313.3,114407,1745873100,3349.91,36.60999999999967,0.16,36.449999999999676,64,signal
114884,1746024000,1,1.0,3319.26,signal,0.08,,3319.26,114957,1746045900,3293.16,-26.100000000000364,0.16,-26.26000000000036,73,signal
115778,1746477000,1,1.0,3336.37,signal,0.08,,3336.37,115781,1746477900,3334.64,-1.7300000000000182,0.16,-1.8900000000000183,3,signal
115808,1746489900,1,1.0,3333.07,signal,0.08,,3333.07,115861,1746505800,3362.7,29.629999999999654,0.16,29.469999999999658,53,signal
115978,1746540900,1,1.0,3394.5,signal,0.08,,3394.5,116056,1746564300,3418.38,23.88000000000011,0.16,23.720000000000113,78,signal
116206,1746613200,-1,1.0,3378.46,signal,0.08,,3378.46,116289,1746638100,3383.34,-4.880000000000109,0.16,-5.040000000000109,83,signal
116441,1746687600,-1,1.0,3355.55,signal,0.08,,3355.55,116524,1746712500,3351.14,4.410000000000309,0.16,4.250000000000309,83,signal
116557,1746722400,-1,1.0,3345.02,signal,0.08,,3345.02,116606,1746737100,3302.33,42.690000000000055,0.16,42.53000000000006,49,signal
116633,1746749100,-1,1.0,3318.49,signal,0.08,,3318.49,116640,1746751200,3315.37,3.119999999999891,0.16,2.9599999999998907,7,signal
116755,1746785700,-1,1.0,3327.15,signal,0.08,,3327.15,116838,1746810600,3344.45,-17.299999999999727,0.16,-17.459999999999724,83,signal
116991,1747033500,-1,1.0,3278.22,signal,0.08,,3278.22,117074,1747058400,3233.79,44.429999999999836,0.16,44.26999999999984,83,signal
117076,1747059000,1,1.0,3241.31,signal,0.08,,3241.31,117155,1747082700,3234.96,-6.349999999999909,0.16,-6.509999999999909,79,signal
118718,1747748100,1,1.0,3248.16,signal,0.08,,3248.16,118801,1747773000,3289.68,41.51999999999998,0.16,41.359999999999985,83,signal
119537,1748005500,1,1.0,3348.94,signal,0.08,,3348.94,119620,1748030400,3362.09,13.150000000000091,0.16,12.99000000000009,83,signal
