entry_i,entry_time,side,oz,entry_px,signal_expiry_i,exit_time,exit_px,gross_pnl,costs,net_pnl,exit_reason,bars_held
14371,1700833200,1,1.0,2001.6,14454,1701040200,2001.37,-0.2300000000000182,0.16,-0.3900000000000182,data_gap,62
14444,1701043200,1,1.0,2002.44,14454,1701046500,2002.54,0.09999999999990905,0.16,-0.06000000000009095,signal,11
14884,1701179100,1,1.0,2020.08,14967,1701204300,2040.78,20.700000000000045,0.16,20.540000000000045,signal,84
15725,1701443100,1,1.0,2047.97,15808,1701463500,2070.13,22.160000000000082,0.16,22.00000000000008,session,67
16856,1701971400,1,1.0,2028.57,16939,1701982500,2028.86,0.2899999999999636,0.16,0.12999999999996362,session,36
16917,1701993600,1,1.0,2028.1,16939,1702000500,2031.93,3.8300000000001546,0.16,3.6700000000001545,signal,23
17626,1702386900,1,1.0,1992.38,17709,1702412100,1979.66,-12.720000000000027,0.16,-12.880000000000027,signal,84
17905,1702474500,1,1.0,1984.36,17988,1702500900,2020.76,36.40000000000009,0.16,36.240000000000094,session,87
18017,1702512000,1,1.0,2032.79,18072,1702528800,2030.8,-1.990000000000009,0.16,-2.1500000000000092,signal,56
18193,1702564800,1,1.0,2046.99,18276,1702587300,2035.99,-11.0,0.16,-11.16,session,74
18781,1702921800,1,1.0,2028.59,18864,1702932900,2026.65,-1.9399999999998272,0.16,-2.0999999999998273,session,36
18842,1702944000,1,1.0,2027.73,18864,1702950900,2026.23,-1.5,0.16,-1.66,signal,23
19002,1702992000,1,1.0,2032.31,19085,1703017200,2039.24,6.930000000000064,0.16,6.7700000000000635,signal,84
19557,1703166300,1,1.0,2043.27,19640,1703191500,2044.22,0.9500000000000455,0.16,0.7900000000000454,signal,84
20184,1703621400,1,1.0,2063.14,20267,1703624100,2067.64,4.5,0.16,4.34,session,8
20217,1703635200,1,1.0,2066.24,20267,1703650500,2064.63,-1.6099999999996726,0.16,-1.7699999999996725,signal,51
