timestamp,datetime_utc,open,high,low,close
1731400200,2024-11-12 08:30:00,2602.06,2603.19,2599.54,2599.89
1731401100,2024-11-12 08:45:00,2599.89,2603.02,2599.4,2600.6
1731402000,2024-11-12 09:00:00,2600.6,2600.71,2590.85,2594.38
1731402900,2024-11-12 09:15:00,2594.38,2595.74,2592.53,2594.6
1731403800,2024-11-12 09:30:00,2594.6,2595.98,2591.6,2593.43
1731404700,2024-11-12 09:45:00,2593.48,2596.35,2592.39,2593.38
1731405600,2024-11-12 10:00:00,2593.32,2595.88,2591.31,2593.54
1731406500,2024-11-12 10:15:00,2593.54,2595.01,2589.67,2592.0
1731407400,2024-11-12 10:30:00,2592.0,2593.44,2590.59,2592.45
1731408300,2024-11-12 10:45:00,2592.45,2598.63,2592.32,2596.71
1731409200,2024-11-12 11:00:00,2596.7,2599.13,2595.57,2596.76
1731410100,2024-11-12 11:15:00,2596.76,2598.82,2592.57,2597.99
1731411000,2024-11-12 11:30:00,2598.0,2598.93,2594.93,2595.12
1731411900,2024-11-12 11:45:00,2595.12,2598.22,2593.19,2597.84
1731412800,2024-11-12 12:00:00,2597.84,2604.55,2597.84,2602.36
1731413700,2024-11-12 12:15:00,2602.34,2604.26,2601.32,2602.51
1731414600,2024-11-12 12:30:00,2602.57,2606.62,2600.8,2602.32
1731415500,2024-11-12 12:45:00,2602.32,2607.07,2601.23,2605.29
1731416400,2024-11-12 13:00:00,2605.3,2609.43,2604.52,2605.57
1731417300,2024-11-12 13:15:00,2605.57,2616.33,2605.39,2614.48
1731418200,2024-11-12 13:30:00,2614.47,2614.82,2605.97,2606.26
1731419100,2024-11-12 13:45:00,2606.31,2612.2,2605.52,2611.59
1731420000,2024-11-12 14:00:00,2611.63,2613.8,2609.01,2613.47
1731420900,2024-11-12 14:15:00,2613.47,2615.39,2611.8,2613.29
1731421800,2024-11-12 14:30:00,2613.29,2617.13,2609.87,2614.85
1731422700,2024-11-12 14:45:00,2614.84,2614.84,2610.23,2610.42
1731423600,2024-11-12 15:00:00,2610.4,2611.8,2605.25,2609.21
1731424500,2024-11-12 15:15:00,2609.21,2610.61,2603.1,2603.36
1731425400,2024-11-12 15:30:00,2603.39,2604.45,2597.4,2601.22
1731426300,2024-11-12 15:45:00,2601.22,2602.56,2597.57,2598.54
1731427200,2024-11-12 16:00:00,2598.53,2604.18,2597.97,2599.94
1731428100,2024-11-12 16:15:00,2599.94,2602.78,2598.69,2599.06
1731429000,2024-11-12 16:30:00,2599.06,2601.64,2598.37,2600.42
1731429900,2024-11-12 16:45:00,2600.42,2601.76,2599.41,2600.78
1731430800,2024-11-12 17:00:00,2600.81,2601.18,2593.29,2593.31
1731431700,2024-11-12 17:15:00,2593.32,2594.72,2592.51,2594.0
1731432600,2024-11-12 17:30:00,2594.0,2597.08,2593.29,2594.82
1731433500,2024-11-12 17:45:00,2594.82,2599.33,2593.79,2597.51
1731434400,2024-11-12 18:00:00,2597.51,2600.92,2597.18,2600.69
1731435300,2024-11-12 18:15:00,2600.69,2602.07,2599.26,2599.64
1731436200,2024-11-12 18:30:00,2599.68,2600.16,2596.52,2597.44
1731437100,2024-11-12 18:45:00,2597.48,2599.97,2596.76,2599.21
1731438000,2024-11-12 19:00:00,2599.21,2601.05,2598.99,2599.27
1731438900,2024-11-12 19:15:00,2599.27,2601.43,2598.82,2600.02
1731439800,2024-11-12 19:30:00,2600.03,2600.65,2598.96,2600.25
1731440700,2024-11-12 19:45:00,2600.25,2600.7,2597.97,2598.2
1731441600,2024-11-12 20:00:00,2598.19,2598.77,2595.16,2597.97
1731442500,2024-11-12 20:15:00,2597.97,2599.28,2597.89,2598.31
1731443400,2024-11-12 20:30:00,2598.31,2600.27,2597.5,2600.25
1731444300,2024-11-12 20:45:00,2600.25,2601.34,2599.52,2599.82
1731445200,2024-11-12 21:00:00,2599.8,2600.75,2599.25,2599.37
1731446100,2024-11-12 21:15:00,2599.37,2599.58,2597.68,2597.8
1731447000,2024-11-12 21:30:00,2597.8,2598.46,2597.41,2597.7
1731447900,2024-11-12 21:45:00,2597.7,2598.43,2597.15,2598.1
1731452400,2024-11-12 23:00:00,2598.01,2599.14,2597.64,2598.93
1731453300,2024-11-12 23:15:00,2598.93,2599.67,2598.27,2598.4
1731454200,2024-11-12 23:30:00,2598.37,2598.72,2597.96,2598.41
1731455100,2024-11-12 23:45:00,2598.41,2599.84,2598.41,2598.97
1731456000,2024-11-13 00:00:00,2598.97,2599.23,2598.07,2598.81
1731456900,2024-11-13 00:15:00,2598.82,2599.74,2598.51,2599.05
1731457800,2024-11-13 00:30:00,2598.98,2599.92,2598.78,2599.18
1731458700,2024-11-13 00:45:00,2599.2,2599.76,2598.73,2599.49
1731459600,2024-11-13 01:00:00,2599.49,2604.7,2599.45,2602.96
1731460500,2024-11-13 01:15:00,2602.96,2608.63,2602.95,2608.28
1731461400,2024-11-13 01:30:00,2608.28,2610.53,2606.54,2609.95
1731462300,2024-11-13 01:45:00,2609.95,2611.17,2607.94,2608.21
1731463200,2024-11-13 02:00:00,2608.15,2608.51,2605.22,2606.63
1731464100,2024-11-13 02:15:00,2606.65,2607.28,2605.44,2607.18
1731465000,2024-11-13 02:30:00,2607.18,2609.87,2605.5,2608.54
1731465900,2024-11-13 02:45:00,2608.54,2612.6,2608.44,2612.11
1731466800,2024-11-13 03:00:00,2612.11,2613.28,2610.01,2610.42
1731467700,2024-11-13 03:15:00,2610.43,2611.01,2607.06,2608.44
1731468600,2024-11-13 03:30:00,2608.44,2609.38,2606.52,2609.0
1731469500,2024-11-13 03:45:00,2609.0,2612.6,2608.89,2611.59
1731470400,2024-11-13 04:00:00,2611.59,2612.37,2609.31,2610.34
1731471300,2024-11-13 04:15:00,2610.34,2612.13,2609.67,2611.71
1731472200,2024-11-13 04:30:00,2611.71,2612.15,2607.96,2609.14
1731473100,2024-11-13 04:45:00,2609.14,2610.09,2606.09,2606.24
1731474000,2024-11-13 05:00:00,2606.24,2607.92,2606.24,2606.66
1731474900,2024-11-13 05:15:00,2606.66,2607.17,2605.96,2606.38
1731475800,2024-11-13 05:30:00,2606.38,2606.64,2603.66,2605.15
1731476700,2024-11-13 05:45:00,2605.15,2606.81,2604.13,2605.77
1731477600,2024-11-13 06:00:00,2605.77,2607.42,2604.52,2604.52
1731478500,2024-11-13 06:15:00,2604.49,2607.1,2604.2,2605.87
1731479400,2024-11-13 06:30:00,2605.87,2606.74,2604.78,2604.96
1731480300,2024-11-13 06:45:00,2604.96,2606.67,2604.52,2605.44
1731481200,2024-11-13 07:00:00,2605.44,2607.48,2604.63,2605.23
1731482100,2024-11-13 07:15:00,2605.23,2607.45,2604.31,2606.3
1731483000,2024-11-13 07:30:00,2606.33,2607.29,2605.31,2607.27
1731483900,2024-11-13 07:45:00,2607.27,2607.27,2605.71,2606.25
1731484800,2024-11-13 08:00:00,2606.25,2606.25,2601.42,2601.83
1731485700,2024-11-13 08:15:00,2601.83,2606.03,2601.07,2604.8
